,Time,Fx,Fy,Fz,Tx,Ty,Tz
0,1650974225.1881528,1.5870064116223124,-0.38114362045241534,-34.33576567437737,0.057226481876708306,0.9101751979985138,-0.16140092208626627
1,1650974225.2201922,1.3767535670308575,0.2767177580389113,-33.9852163485049,0.005392256089738468,0.9025332200275005,-0.16213936592227174
2,1650974225.2542465,4.574509611955648,-2.293706360546609,-34.13228013916236,0.23325087078921877,1.257011120396188,-0.20221803142031944
3,1650974225.2882552,4.051092603805252,-1.5627791284264752,-35.57788423890093,0.2621200237117228,1.2853576536515945,-0.19092856254640928
4,1650974225.3202343,4.602973414376278,-2.5892429067792313,-35.986637436357704,0.47577340439944266,1.5023967936082268,-0.2248883825228724
5,1650974225.3561857,6.4190112873301715,-2.2152102381923116,-33.08119579536377,0.4343809819201639,1.876862651162613,-0.13981591079078495
6,1650974225.3881865,7.183075282259563,3.021654291952854,-35.05335621807914,-0.2230957811059493,1.9360944304900378,-0.22198727807552887
7,1650974225.420204,9.941263711951468,4.944894383234924,-27.06869170980005,-0.24581542307758347,2.443862605216121,-0.2809164584999783
8,1650974225.4542668,8.49233678897022,4.8449900140529865,-26.108434577864497,-0.34708570597556204,2.60352869695626,-0.19635913157026447
9,1650974225.488181,9.06417030359113,4.935712838147156,-25.283953207902723,-0.6152000619358048,2.7412845296910633,-0.16592922384701253
10,1650974225.520174,9.246604737908424,4.977585144721559,-27.267384416004283,-0.8279065993595415,2.927739995597873,-0.14412845537765084
11,1650974225.5542197,9.153618439933425,4.365694398881637,-25.76601273166021,-0.7025358500147655,2.833688200529046,-0.15722319175434463
12,1650974225.5882378,8.07098848909231,5.494875849349963,-27.397061450099027,-0.9512675165750429,2.761927686257174,-0.16578586130603204
13,1650974225.6202006,6.757933253161442,7.568631212986517,-26.686590810926997,-1.1559348895197112,2.634307161417598,-0.18972427365017105
14,1650974225.6542544,6.826970479136188,8.202785529503721,-26.93403114834701,-1.303787765505408,2.531387440570717,-0.09586380576677918
15,1650974225.6881993,5.652776103272385,8.39617994108875,-26.31453514337529,-1.3548157176721838,2.3408176537470453,-0.14534777090556736
16,1650974225.7201812,3.7182183216184295,7.732089704591978,-25.908763073328966,-1.3337827506986242,2.006139210970153,-0.14947719442189553
17,1650974225.75424,1.906233514493215,4.622281355697984,-25.492315883739977,-0.9513709492211316,1.5463419630189332,-0.15421948657206985
18,1650974225.7882366,1.1828745717720164,2.050705216330789,-23.541199912008526,-0.4722435387026023,1.306247596467527,-0.2598212250471525
19,1650974225.8203206,1.4585148621753288,-0.09929093983832447,-23.55017392924715,-0.11040135221426202,1.1889084389359337,-0.27776125156693987
20,1650974225.85417,2.371276263886614,-1.4763813887475368,-25.038700509892497,0.08959793589464403,1.2268621129214097,-0.30658188650662865
21,1650974225.8881786,3.683985647965666,-3.035043668531047,-25.09814896683245,0.31273698076286444,1.4438936432268052,-0.30643293742736644
22,1650974225.9202063,5.154781752148811,-2.420196121368197,-24.91566987025252,0.34057260289111,1.7492030400863958,-0.3277368856679438
23,1650974225.9541368,8.330411736736513,-2.77388849745667,-23.722007640452862,0.4162089320459529,2.365160507390752,-0.35114159042052084
24,1650974225.9882646,10.777522332471348,-0.8007438392297986,-22.655120698789073,0.20060305573794937,3.002274619506878,-0.3242323563504527
25,1650974226.0181966,12.073332204046125,2.654475914275591,-25.00230787146364,-0.32061912512303936,3.351745414042845,-0.3259385139363183
26,1650974226.0541878,10.403800951404051,5.591494687225857,-36.30723906595305,-0.9969496386204305,3.2782248334927795,-0.06323574126517795
27,1650974226.088177,9.568188641336597,6.179253600930561,-36.81172268128722,-1.0070869467727315,3.1967694782485783,-0.030706599680991684
28,1650974226.1221035,7.601634542128212,6.3086343378662555,-37.08067332238533,-1.418267672645699,2.68317845625646,-0.13256883763990923
29,1650974226.1542163,12.537136435417125,1.9749016408941389,-28.736732992251767,-0.8016761629681763,2.7631613480370363,-0.0013158067808205233
30,1650974226.1882274,6.887011996626487,5.831971193407558,-37.1153153420105,-1.167239584776096,2.5509296670119004,0.025626474154771182
31,1650974226.2201807,4.508482133082897,6.128485442262763,-36.829699819757685,-1.0915665458711639,2.3882415441382134,0.015778092235479463
32,1650974226.2542078,3.448442663619428,5.380286888881957,-40.68546995013439,-1.1379588227818647,2.3832747471535405,0.02391172542166395
33,1650974226.2882257,4.353989168733121,5.032088459232162,-36.86563298325241,-0.9348073718623277,2.258745800539943,-0.010151654612679696
34,1650974226.3201537,5.253159099326346,4.112670007825566,-38.79658545183541,-0.9258761751689378,2.3548259193688157,0.013459624238088578
35,1650974226.3541553,5.27799105442293,4.294862095461775,-38.89619681027688,-0.8721738472491561,2.241738734325058,0.02061462092824164
36,1650974226.3881123,4.901734953965916,3.6425296054298038,-39.16811805284406,-0.8271878312255638,2.224620949633998,0.01498643899352543
37,1650974226.4202259,4.195334111838006,3.5818547784043915,-39.51247412879961,-0.8272018777513566,2.2637403106938905,0.018553186741797338
38,1650974226.4542284,4.548354636145104,3.180545140926513,-37.78368777267166,-0.7433719477229765,2.2299808341221397,-0.010941560453972808
39,1650974226.4882028,4.788522293560968,2.9360970250655747,-39.11671668633818,-0.7316459705575444,2.268605684991035,-0.02407801154674022
40,1650974226.52214,5.186101822153218,2.55960533691886,-37.23124467810479,-0.6491852972038235,2.2280286572956443,-0.04002122257703417
41,1650974226.554155,4.920078309321025,2.426426354160834,-38.174439256019056,-0.6752653529045697,2.2520796863393455,-0.0239342659299795
42,1650974226.5882,4.641312827320568,2.2332279784744498,-36.757910322155226,-0.6146696601773204,2.2161020556329794,-0.040438557308295625
43,1650974226.6202095,4.87157925763309,2.3402238118903083,-37.66855226262759,-0.6208451544665797,2.2473088773725416,-0.03696339391278989
44,1650974226.654164,4.9196129295109055,2.3031722977708693,-36.82092374101508,-0.5929811400063388,2.2296623861216665,-0.038457316322943545
45,1650974226.6881793,4.929124545382306,2.3512974572131173,-36.40867887619477,-0.5961099696850894,2.2325874008026445,-0.03728922501949189
46,1650974226.7201684,4.884146887487224,2.309934708465414,-35.83932953921091,-0.5902829378379424,2.2327992430269354,-0.03588191117040429
47,1650974226.7541208,5.017893989157083,2.255268101530211,-35.034367397869495,-0.5860056506465524,2.216880411108099,-0.03519114607381426
48,1650974226.7882009,5.000623443001427,2.463105131735207,-34.83310282593981,-0.6220318165891839,2.235911470017495,-0.030000222853793952
49,1650974226.8202062,5.097711428347651,2.918479908824771,-32.88219060044572,-0.6566428143692221,2.2257556912033536,-0.03012066900642465
50,1650974226.854192,5.163247984605614,3.162177810806978,-33.093690148134414,-0.6911224883426336,2.242176072453992,-0.02641196474909941
51,1650974226.8882067,4.984192025312503,3.099938864639736,-31.75172124053712,-0.6931412592717505,2.2325931116764806,-0.023665015059623675
52,1650974226.9202037,5.143926337127588,3.168680776496407,-31.610599124609774,-0.7207892439449987,2.245530048735727,-0.024093756108679924
53,1650974226.9542015,4.933774910806116,3.518762090996261,-31.003841581211233,-0.7504451738312827,2.2348770168137517,-0.021360077789000936
54,1650974226.9861274,5.144603530958006,4.024787888261502,-30.885820038332913,-0.8057954852409017,2.2367588710328925,-0.019986533234724744
55,1650974227.0202425,4.938557573634996,3.9502304196134888,-31.100352617009392,-0.8447676627743266,2.2458187869179262,-0.006029024289472923
56,1650974227.0542104,5.159812879221486,4.019230309455243,-30.53926297325719,-0.8553944664841846,2.2438427383521007,-0.01630320607717582
57,1650974227.0881867,4.911192868232086,4.572338498769628,-30.55307267068471,-0.8917300220751515,2.2374275320548755,-0.01565633948972715
