,Time,Fx,Fy,Fz,Tx,Ty,Tz
0,1650971294.8222444,3.274263429032016,0.20282787300083063,-29.807544969051456,-0.0405613689599719,1.4566587315794528,-0.0390008654914466
1,1650971294.8560507,3.3731545184562393,-0.03215472940087706,-29.8708096660556,-0.031582822653817226,1.4569069574500775,-0.03441441579607827
2,1650971294.8900213,3.6977183330778427,0.5663907734025336,-28.594283097221197,-0.09090900964480043,1.508687444593504,-0.05104369511454009
3,1650971294.9219968,5.247931902523381,0.46852076860469494,-23.24015197456962,-0.08176486760909515,1.7173731025000332,-0.042609171281813275
4,1650971294.9560063,4.819872838690408,1.7080847126509473,-24.05331999935734,-0.13142666701579864,1.7240909841615168,-0.03485299604809803
5,1650971294.9880095,5.306591577939796,2.5208137826665737,-25.823489086617375,-0.3067832555865036,1.836006938780354,-0.03489849614153455
6,1650971295.021982,4.886326910509513,4.341950466890666,-26.231955832696357,-0.6138516554573558,1.7925475393419095,-0.001670009197310173
7,1650971295.056038,1.9588043195604794,3.8164006063465616,-27.571876657851387,-0.6023290227925013,1.4298136757743596,-0.002174735355123302
8,1650971295.0879946,1.6353356429232002,2.9022748387135087,-25.922323624229907,-0.44157647001227457,1.1867944805701482,-0.004245117621949937
9,1650971295.1219676,-0.05568393157748678,0.6310689251501931,-26.71094140150884,-0.20879444355183926,0.9133825889385427,-0.006592943217234856
10,1650971295.1559935,-0.7300883133728362,0.699179775575497,-25.00667148538906,-0.14690172556451062,0.7975710409362112,-0.042682534439340745
11,1650971295.1880615,0.3066127714352261,-0.1483082777420386,-24.5677497643106,-0.07860922581857172,0.8465016532739323,-0.03196579112914551
12,1650971295.2219946,-0.5076747584873305,-0.5834201934198819,-24.108577636040984,-0.005216707614348871,0.748075003975449,-0.012160695650167808
13,1650971295.2560186,0.2816053591727336,-0.9049120730390854,-24.84556374426191,0.08303362034768842,0.8559667506618042,-0.001986588542973907
14,1650971295.2899644,0.12239922368698182,-0.08864027281254591,-25.067601911586088,-0.01279508193068196,0.8176365240174793,-0.036791300474646085
15,1650971295.321965,0.15205915401893322,-0.7335835171894123,-24.54876781117696,0.012679862622974634,0.8172488819102344,-0.045817167899856466
