,Time,Px,Py,Pz,Qx,Qy,Qz,Qw
0,1650971734.3671374,0.0731683102717895,-0.032502178888118245,0.055168775331374514,7.475440582993542e-06,0.9999999974161482,6.826847663585584e-05,2.1242350292151802e-05
1,1650971734.411131,0.07316335662827216,-0.032504453783562426,0.05516036396016307,-4.4311905005867125e-06,0.9999999979746983,6.153466916951663e-05,1.563499148337009e-05
2,1650971734.4530861,0.0731818157887507,-0.03251455896251845,0.0551466334155374,-4.752489996429077e-06,0.9999999977949219,6.615778895880265e-05,3.273774910983736e-06
3,1650971734.4530861,0.0731818157887507,-0.03251455896251845,0.0551466334155374,-4.752489996429077e-06,0.9999999977949219,6.615778895880265e-05,3.273774910983736e-06
4,1650971734.4951115,0.07324240370704152,-0.03247085962483375,0.05513318316875649,7.277328144761341e-06,0.9999999983426071,3.805276113769021e-05,-4.258890873624833e-05
5,1650971734.5390558,0.07323745353373123,-0.032472161930592505,0.05514255579180465,-1.0621741873495516e-05,0.9999999974916546,4.964477788864826e-05,-4.9388936191015175e-05
6,1650971734.5390558,0.07323745353373123,-0.032472161930592505,0.05514255579180465,-1.0621741873495516e-05,0.9999999974916546,4.964477788864826e-05,-4.9388936191015175e-05
7,1650971734.5790925,0.07321198335330863,-0.0324071576888623,0.05510096569608785,1.369096767611655e-05,0.9999999991663344,-3.687789726177546e-05,-1.0950342906185306e-05
8,1650971734.6411195,0.07321335437655489,-0.032378910608918794,0.05509478774889498,4.388816143019447e-05,0.9999999964612095,-7.174298444978999e-05,-2.086947814942586e-06
9,1650971734.6411195,0.07321335437655489,-0.032378910608918794,0.05509478774889498,4.388816143019447e-05,0.9999999964612095,-7.174298444978999e-05,-2.086947814942586e-06
10,1650971734.7051249,0.07311305250511256,-0.03247306223385051,0.05516871759333444,7.635674732164865e-06,0.9999999963546419,3.184496808599006e-05,7.885627342574124e-05
11,1650971734.7251432,0.07311564915155316,-0.03251255964741721,0.05515979548721884,1.967259271523636e-05,0.9999999956057406,4.96351689373703e-05,7.705750185368342e-05
12,1650971734.7671247,0.07308041184284095,-0.032539895913805315,0.05518609644681428,-1.681220702715036e-05,0.9999999891424731,0.00010526335276558217,0.0001017449282293127
13,1650971734.8111682,0.0730441591136405,-0.032589241692331176,0.05521942784442932,-2.3207043116368897e-05,0.9999999776909492,0.00016287532548634582,0.00013248080363504862
14,1650971734.8111682,0.0730441591136405,-0.032589241692331176,0.05521942784442932,-2.3207043116368897e-05,0.9999999776909492,0.00016287532548634582,0.00013248080363504862
15,1650971734.8550863,0.0730711421854596,-0.03260166367380051,0.0551830178257026,-5.958828262475624e-05,0.9999999812409328,0.0001643946706277974,8.331724684465695e-05
16,1650971734.8970935,0.0731646902802053,-0.03258001322922157,0.055153284261238784,-1.1085705549251923e-05,0.999999991058941,0.00013297242648247913,8.806786867952181e-06
17,1650971734.9391024,0.07314541209316443,-0.03260314132862244,0.05518009757255198,-5.33283471630952e-05,0.9999999844656018,0.00016789926848874014,5.892356629180997e-06
18,1650971734.9391024,0.07314541209316443,-0.03260314132862244,0.05518009757255198,-5.33283471630952e-05,0.9999999844656018,0.00016789926848874014,5.892356629180997e-06
19,1650971734.9830594,0.07326356648506163,-0.03257755010242042,0.0551274432131009,-4.694077866990165e-05,0.9999999820739245,0.00011851235664055986,-0.00014001262728445302
20,1650971735.0431163,0.07337381133291325,-0.032359673290516366,0.05506929167141596,-3.988070528510024e-05,0.9999999708692799,-8.063444379742337e-05,-0.00022398449941899454
21,1650971735.0831661,0.07337875983610909,-0.03230193427429811,0.05503692839871449,-2.777955296573431e-05,0.999999963868982,-0.0001466692922815861,-0.0002235586073087309
22,1650971735.1051617,0.07329425686916728,-0.032328629526168405,0.05508971158014736,-5.824503058421415e-05,0.99999997823728,-0.00011109874619479974,-0.00016670340457619596
23,1650971735.127082,0.07325203084593557,-0.032376143952375466,0.05513336832755884,-5.2276453983424176e-05,0.9999999885885615,-7.05005666555433e-05,-0.00012296227025707744
24,1650971735.1470923,0.07323231267405887,-0.032364173900815876,0.05512265345883234,-2.8319071625038106e-05,0.9999999931443702,-7.365784939116438e-05,-8.650902582502995e-05
25,1650971735.2112563,0.07306491392125058,-0.03250708423233942,0.05519163388513165,-4.653613692823244e-05,0.9999999947156774,6.65524043335575e-05,6.303817439470503e-05
26,1650971735.2112563,0.07306491392125058,-0.03250708423233942,0.05519163388513165,-4.653613692823244e-05,0.9999999947156774,6.65524043335575e-05,6.303817439470503e-05
27,1650971735.2731307,0.07318700868098835,-0.03247937952302177,0.05517069667263836,-5.219883675255943e-05,0.9999999958270414,5.527930160223743e-05,-5.064975672588102e-05
28,1650971735.2950656,0.0732464397663567,-0.032501055307716645,0.055158516240245765,-2.7783030406847153e-05,0.9999999923142538,7.549162088771071e-05,-9.434305007743114e-05
29,1650971735.3370047,0.07342128598030116,-0.03247005016315757,0.055097237768267575,4.354969461856095e-05,0.9999999790109559,2.9921524625680897e-05,-0.00019795508301156955
30,1650971735.3790686,0.07344437473346097,-0.032427011537892556,0.05511007522737341,6.739342897088552e-05,0.9999999764110867,-1.0193481851392475e-06,-0.00020648223621049509
31,1650971735.3790686,0.07344437473346097,-0.032427011537892556,0.05511007522737341,6.739342897088552e-05,0.9999999764110867,-1.0193481851392475e-06,-0.00020648223621049509
32,1650971735.419108,0.07333711434856172,-0.032414345452221965,0.05513922367469892,7.966284560984027e-05,0.9999999926418834,-1.3934466882849492e-05,-9.042065975443407e-05
