,Time,Fx,Fy,Fz,Tx,Ty,Tz
0,1650972951.3880868,-4.079090568198034,0.6571239945694761,-33.65232897624331,-0.16724214684822641,-0.4176745459695318,-0.11564550496319426
1,1650972951.4221466,-4.0812213718552846,0.3892164494142942,-33.59132079386699,-0.16770541021831506,-0.4158349823505878,-0.11445762885361174
2,1650972951.4561174,-4.218781086700613,0.7017636743279269,-33.5207822042421,-0.1609648565386509,-0.4209076550067931,-0.1181890105153827
3,1650972951.4881666,-3.9995192814103593,0.381997730776996,-33.42926939915512,-0.15095583136557383,-0.41728128598138087,-0.11988314823084031
4,1650972951.5220473,-4.145647979965664,0.46821413691699704,-33.396171658601915,-0.14145654400794036,-0.4255318592879362,-0.12053303642556512
5,1650972951.5561697,-3.889136047267436,0.11935185408262673,-33.89854127129519,-0.12745483095724602,-0.4309935256186462,-0.11480059084654444
6,1650972951.5881686,-4.0954257953661175,0.04399096914732241,-33.945813075337206,-0.12001752650609496,-0.4218353006227008,-0.11872819921428146
7,1650972951.622106,-3.941154731808457,0.010472788273017737,-33.94439706721274,-0.10671297075687833,-0.4289779524301079,-0.1172249874788774
8,1650972951.6561432,-4.129413983724635,-0.11237869165822977,-34.23346178986896,-0.10002317056996662,-0.4268102208115289,-0.11937630151573853
9,1650972951.6881394,-4.028323430665509,-0.07098647710334963,-34.32995099428222,-0.093379036240613,-0.4367514261285795,-0.11984554781799903
10,1650972951.722073,-4.161172557822226,-0.20857208851826023,-34.6923405163791,-0.1012633970014109,-0.43176003766005294,-0.11988743648396663
11,1650972951.7560916,-4.370939374755771,-0.19878679924193432,-34.87487871438379,-0.0964673355971993,-0.4343965929160687,-0.12004740406594305
12,1650972951.7880387,-4.216110029221609,-0.10816137693865996,-35.001867919003544,-0.09049092772036517,-0.43612313089954663,-0.12409658459652977
13,1650972951.8221064,-4.364699522760635,-0.13995656217459676,-35.67893868018114,-0.08353120969818421,-0.4417194073455044,-0.12258302132938136
14,1650972951.8561146,-4.253431122756207,-0.48276932484225327,-36.859537926488436,-0.05236535769752437,-0.44423197823613486,-0.12168310977725268
15,1650972951.88808,-4.459024482574574,-0.18015014342899002,-37.073247878902194,-0.057388479139792066,-0.4483290902392617,-0.12470472511793998
16,1650972951.922094,-4.4185165380227005,-0.4351303627131302,-37.64869005332122,-0.05919784531828515,-0.4463778587408618,-0.12252774196661469
17,1650972951.9560826,-4.5200666378486165,-0.26898141591056357,-37.47865766211768,-0.0600030207311144,-0.4647096206502984,-0.125639309460412
18,1650972951.988084,-4.407535368996092,-0.2798498045182616,-37.23972073177795,-0.04212238889796882,-0.4591517434675776,-0.12463900943090446
19,1650972952.0220613,-4.636330683941903,-0.23532723214563628,-38.125200284694294,-0.05464244814052112,-0.46290603274312236,-0.12117918727170972
20,1650972952.0561066,-4.4870090313940665,-0.4383021740590755,-37.333353292161796,-0.034039243713124896,-0.4741862846198919,-0.12237715187119716
21,1650972952.0880628,-4.493485779884496,-0.3994236338483884,-37.33732951848945,-0.03230831890058999,-0.4729331608384663,-0.12557427645008773
22,1650972952.1220906,-4.4987763306763435,-0.5405139065689017,-37.01790178357179,-0.024655745523321813,-0.46828702162543395,-0.12526112227517525
23,1650972952.1560874,-4.463481350559812,-0.4457769257794572,-37.41786992542861,-0.020406061347902925,-0.46913935153548075,-0.1294557006289494
24,1650972952.1880572,-4.35474663394725,-0.6167552677306862,-37.197167522880044,-0.03458351145738248,-0.46362963895412945,-0.12353351653175132
25,1650972952.2221081,-4.350597190954043,-0.33391875154592554,-37.255145807585954,-0.04113951452501554,-0.46485164308265675,-0.12382587532252937
26,1650972952.2560782,-4.342631378565129,-0.22533156990302602,-36.83817399810359,-0.03323924974550202,-0.45996862121028226,-0.1286899013735232
27,1650972952.2900798,-4.462388141821339,-0.37696392771744264,-36.63361366818306,-0.01929751063946514,-0.4589948005931527,-0.12583400999685082
28,1650972952.3220851,-4.485928970664675,-0.4175302772140514,-36.84135691481686,-0.03943585082568525,-0.45739700169789604,-0.12717834581691553
29,1650972952.3561184,-4.42119037096307,-0.5456262424013213,-36.3749828971862,-0.03231466735086546,-0.4627634849402292,-0.11828644966536045
30,1650972952.388082,-4.394279561585628,-0.17153882607318688,-36.427977061646544,-0.034337792253902835,-0.463586527878906,-0.1263177675334764
