,Time,Px,Py,Pz,Qx,Qy,Qz,Qw
0,1650973792.8590791,0.07316176372755989,-0.03253030920559016,0.05196727700762937,3.5527631201182075e-05,0.9999999962324317,-6.158583964003616e-05,4.98006972195271e-05
1,1650973792.9010596,0.07316909307043452,-0.0325367750504614,0.05197440318670616,2.3593623479867265e-05,0.9999999977910359,-5.007870479645536e-05,3.6788496523765395e-05
2,1650973792.9010596,0.07316909307043452,-0.0325367750504614,0.05197440318670616,2.3593623479867265e-05,0.9999999977910359,-5.007870479645536e-05,3.6788496523765395e-05
3,1650973792.9430578,0.07316365985362475,-0.03253813272053406,0.05196182337814875,2.3507227885077864e-05,0.9999999975665973,-5.0034573408919666e-05,4.2553009726899466e-05
4,1650973792.985098,0.07313991201892871,-0.032494900650656626,0.051946139410634445,4.752597249241264e-05,0.9999999911310467,-0.00010174114981873031,7.160954763245235e-05
5,1650973793.0270789,0.07319996349821956,-0.03250785389537794,0.05195257287522376,4.150961594295843e-05,0.9999999961508188,-7.679975697330837e-05,8.781387320630365e-06
6,1650973793.0270789,0.07319996349821956,-0.03250785389537794,0.05195257287522376,4.150961594295843e-05,0.9999999961508188,-7.679975697330837e-05,8.781387320630365e-06
7,1650973793.091074,0.07333105300981352,-0.03242485320410342,0.05192992253313814,5.971749227906553e-05,0.9999999826796371,-0.00014127194516139844,-0.00010543616639030785
8,1650973793.1330671,0.07333505559838586,-0.03269623595585756,0.05197425906690938,8.84345981903567e-05,0.9999999833522675,0.00013019561493236994,-9.232491207933032e-05
9,1650973793.1750915,0.07303360420965953,-0.032729970194901384,0.052135062705996243,6.472830744058689e-05,0.9999999566939959,0.0001987991141524822,0.00020712596473457161
10,1650973793.1970654,0.07302123418099511,-0.032717406547398284,0.05214002725627263,3.461366255164133e-05,0.9999999677895259,0.00018404517052291662,0.0001713190500158409
11,1650973793.1970654,0.07302123418099511,-0.032717406547398284,0.05214002725627263,3.461366255164133e-05,0.9999999677895259,0.00018404517052291662,0.0001713190500158409
12,1650973793.2610261,0.07328728387436724,-0.03270805819018409,0.05202095896415115,4.617051972316544e-05,0.9999999817318267,0.00017517561246398674,-6.0976511274665386e-05
13,1650973793.3030994,0.07296186309078685,-0.0326197379094087,0.05213660090896804,1.7016752194232154e-05,0.9999999650388054,0.00011236777601464934,0.00023875992480499746
14,1650973793.3450787,0.07333807767569013,-0.03249409017793818,0.05195332567872707,7.091146068033405e-05,0.9999999924258518,-1.4340973622403601e-05,-9.957007005825458e-05
15,1650973793.3450787,0.07333807767569013,-0.03249409017793818,0.05195332567872707,7.091146068033405e-05,0.9999999924258518,-1.4340973622403601e-05,-9.957007005825458e-05
16,1650973793.3851109,0.07296388840005581,-0.0325059469472469,0.05207077624263065,-7.012782102910897e-06,0.9999999774158319,5.672132512864176e-07,0.0002124119487034003
17,1650973793.4271028,0.07335363735824448,-0.032479721604598895,0.0519248289823533,7.096465026301679e-05,0.9999999899285877,-4.5358064375682805e-05,-0.00011423435997874743
18,1650973793.4690664,0.07297774140998421,-0.03253548983969299,0.052058824741941276,-6.843028948599894e-06,0.999999980609416,-1.840468413521084e-05,0.0001959479770880965
19,1650973793.4690664,0.07297774140998421,-0.03253548983969299,0.052058824741941276,-6.843028948599894e-06,0.999999980609416,-1.840468413521084e-05,0.0001959479770880965
20,1650973793.511072,0.07329414980388203,-0.03246532122899208,0.051907057617693306,5.9974883493685294e-05,0.9999999872660171,-0.00012624305036654647,-7.703033007946838e-05
21,1650973793.573108,0.07301085993801812,-0.03245439992544711,0.05196213925852115,1.8242029901471835e-05,0.9999999668913219,-0.00017682187738822606,0.00018606076438834284
22,1650973793.6170683,0.07329401771929117,-0.032497599119860464,0.05185392352762566,3.0304417246773685e-05,0.9999999863623132,-0.00014380746220546035,-7.534208843565657e-05
23,1650973793.63707,0.07305269138337842,-0.03255582740488748,0.05197613080539726,1.023050519360913e-05,0.9999999874481904,-5.7777535739614597e-05,0.0001471757893276906
24,1650973793.6570718,0.07303003490579779,-0.032540002519697526,0.05194414821418045,-6.73827202146704e-07,0.9999999852878233,-9.555856759228788e-05,0.00014245160767598414
25,1650973793.699076,0.0732680987363654,-0.03248214986337453,0.051888957308681774,1.7370036921648957e-05,0.9999999902886088,-0.00011412755173116945,-7.807667189338808e-05
26,1650973793.7410922,0.07306340745725742,-0.03252205086555179,0.05195965271698501,-3.666391463763574e-07,0.9999999894449265,-9.205765707685301e-05,0.0001124073043780006
27,1650973793.7410922,0.07306340745725742,-0.03252205086555179,0.05195965271698501,-3.666391463763574e-07,0.9999999894449265,-9.205765707685301e-05,0.0001124073043780006
28,1650973793.7830992,0.07326952983121374,-0.03242778550780463,0.05187429916056581,2.4262045742184934e-05,0.9999999828281716,-0.00016850825808730776,-7.321186494384569e-05
29,1650973793.8250563,0.07310034731843205,-0.0324347980611421,0.05188113847133455,3.5645045560861455e-05,0.9999999795301757,-0.00017792362642566107,8.951124323018617e-05
30,1650973793.8670805,0.0732968719510661,-0.03240523307309429,0.05185218645270382,2.3190014713181384e-05,0.9999999808737436,-0.00017481150025720093,-8.459122993585987e-05
31,1650973793.9090862,0.07308167906979376,-0.03245042526306786,0.051898569196073795,-2.3932307091634186e-07,0.9999999833882819,-0.00014461462851941983,0.00011095038554222991
32,1650973793.9090862,0.07308167906979376,-0.03245042526306786,0.051898569196073795,-2.3932307091634186e-07,0.9999999833882819,-0.00014461462851941983,0.00011095038554222991
